id,actor,textKor,textEng
1,red,뭉치의 눈에 우리의 뇌를 넣은 건 정말 잘한 일이야.,
1,red,뭉치가 기압차 때문에 터지지 않았다는 걸 알 수 있었다! 안심이 돼.,
1,edison,동의함.,
1,red,게다가 인간!!을 다시금 바라볼 수 있었어! 우리의 아름답고 멋진 인간들을 말이야.,
1,edison,역시 동의한다.,
1,sircello,~♫♮♭,
1,red,그러게. 뭉치가 한 명의 인간을 제외한 나머지 인간들에겐 보이지 않았어!,
1,edison,하지만 왜? 그러한 특성은 관찰되지 않았었는데?,
1,edison,인간의 눈? 뭉치의 성분? 혹은 그저 작고 까맣기 때문?,
1,sircello,♫♮ ♩♩♩♩!!,
1,red,어! 그렇네! 드리미네슘 때문일 수도 있겠네!,
1,edison,…… 가장 유력한 가설인 듯. 폐기물의 구성 성분을 조사해 보겠음.,
2,red,반지 소년은 그 꿈을 꾸고 일어나… 최악의 슬픈 아침을 보냈겠지.,
2,sircello,…….,
2,red,나를 잡아먹는 나의 공허. 그것을 견뎌야만 한다니.,
2,red,나의 잘못이 아님에도… 그 벌은 나의 것이어야만 한다니.,
2,edison,레드.,
2,edison,그것은 해답 없는 인간 세상의 난제. 우리는 채 이해 못 하는 인간들의 이야기.,
2,edison,그 자체로 아름다운 것이라 받아들이면 됨.,
2,red,싫어. 나의 마지막 인간 아이가 떠오른단 말이야. 그건 아름답지 않아.,
2,red,아름다운 인간이 왜 다른 아름다운 인간에게,
2,red,평생을 틀어 막고 살아도 메워지지 않는 추한 구멍을 남기는 거야?,
2,edison,…….,
2,sircello,…….,
2,red,아직도… 나의 인간을 괴롭히던 인간들의 표정이 생생하게 기억 나.,
2,red,그건 정말로 아름답지 않았어. 비겁하고 끔찍했어.,
2,red,사랑하는 인간들에게 이런 마음을 가지는 것이 죄스럽지만… 난. 나는….,
2,red,달리 어떻게 느껴야 할지 모르겠단 말이야….,
2,sircello,…….,
2,edison,…….,
3,red,수많은 얼굴들을 빙그르르 돌리던 하얀 모자 인간! 정말 황홀하고 아름다웠어!,
3,red,우리 안에도 하얀 모자 인간처럼 수많은 얼굴들이 살고 있을까?,
3,edison,우리는 그저 오물을 치우는 달 청소부들.,
3,edison,우리에게 다면성은 비효율적이고 시끄럽고 피로할 뿐.,
3,edison,‘얼굴’은 하나면 충분함.,
3,red,아니! 나는 다섯 개 가지고 싶다!,
3,sircello,♩♩♩♩♩♩♩ ~!,
3,red,첼로 경은 일곱 개 가지고 싶다는데!,
3,red,근데 왜 일곱 개지?,
3,red,"아, 도레미-파솔라시!",
3,sircello,♪~ ♩♭♫ !,
3,edison,… 그래.,
3,red,너는 몇 개?,
3,edison,나는 세 개.,
4,sircello,♮♭♫ ♮~ ♬,
4,red,"그러게… 우리를 보고 싶어 했을 줄은 몰랐어. 짜식, 감동인걸!",
4,edison,아무리 고민해도 뭉치가 우리를 다시 볼 수 있는 방법은 없다.,
4,edison,그러니 뭉치의 그리움은 길 없는 그리움.,
4,edison,…….,
4,sircello,♬♪~ ♩♩……,
4,edison,"우리는 그 무게를 잘 알지. 하지만, 그럼에도……",
4,edison,고마운 것 같음.,
4,red,맞아. 뭉치가 정말 이곳에서의 기억을 잊겠다고 선택했으면 마음이 찢어졌을 거야…….,
4,sircello,♪♪ ♫♭♩……?,
4,edison,"걱정 마라, 첼로. 뭉치에게 그런 능력이 있다는 건 관찰하지 못했다.",
4,edison,"뭉치의 강렬한 소망이었을 뿐, 기억을 정말 지우지는 못했을 것임.",
4,edison,…….,
4,edison,뭉치는 똑똑한 괴물 덩어리니까. 아마 그도 알고 있었을 테지.,
5,red,그동안 꿈을 만들며 많은 인간들의 밤을 책임지며 그들을 한 명 한 명 사랑해 왔지만……,
5,red,그들 모두가 죽었다는 게 마음이 아파.,
5,red,"만난 적은 없지만 사랑하는, 또 사랑할 모든 인간 역시 언젠가는 죽게 될 것이라는 것도.",
5,sircello,♩ ♬ ♫♮,
5,edison,"대부분의 인간은 죽음에 대비해, 혹은 그에 앞닥쳤을 때 ‘유언’을 적거나 남긴다고 함.",
5,edison,"유언을 통해 지나온 과거를 함축해 정리하기도 하고,",
5,edison,자신은 가지 못할 미래를 빌어 보기도 함.,
5,sircello,♫♫# ♮♭,
5,edison,그렇게 죽는 자가 살아갈 자에게 전하는 것임. 자기 생의 의미를.,
5,edison,"산 자가 죽은 자를 기억하며 그 의미를 부여할 때, 유언은 비로소 완성됨.",
5,edison,"모두가 죽기에 존재할 수 있는, 매우 흥미로운 문화이다.",
5,edison,참으로 인간다운 문화.,
6,edison,뭉치는 찌질이 바보임.,
6,edison,똑똑한 괴물 덩어리일 줄 알았는데.,
6,red,정말 떠날까 봐 어찌나 조마조마하던지.,
6,red,이것 봐. 머리 쥐어뜯느라 손이 다 시커매졌다니까.,
6,edison,…...더 시커매질 게 남았었던가?,
6,sircello,♮♭♫# ~~,
6,red,"이미 성냥개비라니! 아니거든, 아니라고!",
7,red,오늘 뭉치가 보고 온 인간 말이야…….,
7,red,웃을 때 참 아름다웠어. 주변이 환해지는 것 같았다고.,
7,edison,"얼굴이 빨갛다, 레드.",
7,sircello,♫#  ♪♬ ??,
7,red,아니! 아니! 왜 나에게 물을 붓지?,
7,red,싫어! 다시 타오르려면 한참을 말려야 한다고!,
7,red,아-아무튼.,
7,red,그 인간이 자신의 웃음을 지켜 냈으면 좋겠어.,
7,sircello,♭♬ ♪♪ ♪   ♬ !,
7,red,"온전히 슬퍼하다 보면, 온전히 웃을 수도 있을 거라고?",
7,red,뭉치가 비슷한 말을 했던 것 같은데…….,
7,red,"잘 이해되지는 않지만, 멋있는 철학이 담겨 있을 것만 같은 말이다! 좋아!",
8,sircello,♬♬♬♬♬♮  ♪ !,
8,red,뭐? 정말? 치커리 영감이랑 오물 치우느라 못 봤어!,
8,red,"뭉치 이 자식, 결국 편지를 주러 다녀왔구나! 장하다!",
8,sircello,♪♪ ....,
8,red,…! 가방에 넣으려다 몸이 지퍼에 뜯겼다고?,
8,sircello,♫ ♫ !,
8,red,근데 또 다시 자라났어?!,
8,sircello,♩ ♮ ~,
8,red,다행이야…….,
8,red,그나저나 아이가 편지를 읽었을까? 읽었으면 좋겠다!,
8,edison,"뭉치 글씨체, 하도 찌글거려서 해독할 수는 있을까 걱정이군.",
9,red,뭉치가 꿈이 되면 죽는다니… 한 번도 그렇게 생각해 본 적이 없어.,
9,red,……. 난 뭉치에게 사실상 죽으라고 권유한 셈인 거야.,
9,red,이거야말로 정말 나쁘고 멍청한 놈이나 할 법한 짓이잖아!,
9,red,게다가 꿈이 인간의 머릿속에서 영원히 살아가는 존재라고 믿고 있었을 줄은….,
9,red,‘꿈은 인간의 영원한 친구’란 표어를 어떻게 그렇게 해석할 수 있냐는 말이야!!,
9,edison,"레드, 진정. 나 역시 미처 고려하지 못했음.",
9,edison,"달에서 들었던 말들과, 인간들이 알고 있는 꿈에 대한 정보가 서로 부합하지 않을 때에는",
9,edison,그 균열을 본인의 상상으로 채워 나갔던 것 같음.,
9,sircello,(음표),
9,edison,"그러게. 저 괴물 덩어리, 생각보다 바보였음.",
9,red,그나저나 정말… 이제 어쩌지.,
9,red,그냥… 우리 걱정 같은 건 하지 말고.,
9,red,꿈이 되지 않고 오래 오래 살아 주면 좋겠어. 새까만 몸뚱이도 나름 귀엽단 말이야!,
9,red,이걸 뭉치에게 전할 길이 있다면…….,
10,red,뭉치의 인간이 우리의 따스함을 알아주어 다행이었어.,
10,red,‘따스하게 겹쳐 쌓인 선율 같은 이들’이라 해 줬다고.,
10,edison,따스하게 겹쳐 쌓인 선율... 훌쩍.,
10,sircello,(음표)……,
10,red,정말 감동적이야…….,
10,edison,…….,
10,sircello,…….,
10,red,그런데… 오늘 뭉치가 보고 온 인간을 떠올리면 마음이 다시 아파져.,
10,sircello,(음표),
10,red,"맞아, 간절히 응원하기. 우리가 할 수 있는 유일한 일이지.",
10,red,지구에선 보이지도 않는 달의 뒤편에서 보내는 응원이지만.,
10,red,"무력해. 고통에 찬 인간에게 해 줄 수 있는 게, 그를 사랑하는 것밖에 없어….",
10,sircello,(음표),
10,red,"정말? 우리의 존재를 몰라도, 보거나 느낄 수조차 없어도 힘이 될 수 있다니?",
10,sircello,(음표),
10,red,마음은 켜켜이 쌓인다…? 그게 무슨 뜻이지?,
10,red,음… 음… 으음… 여전히 모르겠어.,
10,red,하지만… 멋진 말이다!,
11,red,"에디슨, 첼로 경! ‘루시드 드림’에 대해 알고 있었어?",
11,edison,"처음 들음. 치커리 영감은 얼핏 알고 있는 듯했지만,",
11,edison,나이가 하도 먹어서인지 기억이 가물가물한 것 같음.,
11,sircello,(음표),
11,red,뭐어? 두 번째로 맡았던 인간이 루시드 드리머였다고?,
11,red,어땠어? 어땠어? 세상에나 이런 일이! 루시드 드림은 어떻게 만들어지는 거야?,
11,sircello,(음표),
11,red,"우와! 신기해! 에디슨, 이게 말이 돼?",
11,red,루시드 드림을 터득한 인간들의 꿈 구슬에는 작고 특별한 문이 달려 있대!,
11,red,그 문을 통해 꿈속으로 들어가는 거야? 너무! 너무! 신비롭고 희귀한 일이다!,
11,edison,연구. 연구.,
11,red,"…… 에, 에디슨?",
11,edison,연구 필요함. 연구 필요함.,
11,red,전구 머리가… 엄청나게 빛나고 있어?,
11,sircello,(음표)…?,
12,red,우리에게도 암흑이 있을까?,
12,edison,암흑이라….,
12,edison,음. 어젯밤 문득 이런 생각이 들었음.,
12,edison,"우리는 인간을 사랑하며 그 주위를 공전하도록 설계되었지만,",
12,edison,"결코 그들의 고마움도, 애정도, 인정도 받을 수 없지.\n그들은 꿈마저도 중요히 여기지 않는다고 하니….",
12,edison,그게 부조리하다고 생각하며 세 시간 동안 우주 너머를 바라보았음.,
12,edison,막막하고 답답했다. 아마 나는 그때 내 암흑 속을 헤엄치는 중이었겠지.,
12,sircello,(음표),
12,sircello,(음표),
12,red,뭐? 첼로 경! 첼로 경은 밤마다 악몽을 꾼다고? 저런…….,
12,edison,인간들은 수면 안대라는 것을 사용한다고 함.,
12,edison,첼로 경을 위한 수면 안대 프로토타입을 한번 만들어 보겠음.,
12,sircello,(음표),
12,red,나도… 차디찬 물로 걸어들어가던 그 인간 아이의 마지막 날을 떠올릴 때면,
12,red,엄청난 슬픔에 잠기게 돼……,
12,sircello,(음표),
12,red,으으….…,
12,red,우리의 암흑이 아무리 우리를 어렵고 힘들게 한다지만.,
12,red,미워하고 싶지 않아.,
12,red,내 머릿속에서 암흑을 떼어 내면 그 아이도 함께 사라질 것만 같거든.,
13,red,뭉치와의 작별이 얼마 남지 않았을 것만 같은 슬픈 예감이 들어.,
13,sircello,(슬픈 선율이 연주된다),
13,sircello,(음표),
13,red,"이제 뭉치의 눈을 통해 인간들을 바라보는 것도, 뭉치의 여정을 응원하는 것도 할 수 없어.",
13,red,"다시 청소, 청소, 또 청소일 뿐인 일상으로 돌아가는 거야….",
13,sircello,♩ ♬ ♫♮,
13,edison,뭉치와 함께한 시간이 우리에게도 커다란 변화를 만들어 냈을 거라고?,
13,edison,… 맞아. 다시 돌아가도 예전 같지는 않을 것임. 분명히 알 수 있다.,
13,red,문득 궁금한 게 생겼어.,
13,red,… 우리는 뭉치의 인간에게 어떤 모양으로 각인될까?,
13,edison,…….,
13,edison,세 명이니 세모난 모양?,
13,red,웃어야 하는 거지?,
13,edison,웃어라.,